index,Class,video_x
2_1_1,1,2_1
2_1_2,1,2_1
2_1_3,1,2_1
2_1_4,1,2_1
2_1_5,1,2_1
2_1_6,1,2_1
2_1_7,1,2_1
2_1_8,1,2_1
2_1_9,1,2_1
2_1_10,1,2_1
2_1_11,1,2_1
2_1_12,1,2_1
2_1_13,1,2_1
2_1_14,1,2_1
2_1_15,1,2_1
2_1_16,1,2_1
2_1_17,1,2_1
2_1_18,1,2_1
2_1_19,1,2_1
2_1_20,1,2_1
2_1_21,1,2_1
2_1_22,1,2_1
2_1_23,1,2_1
2_1_24,1,2_1
2_1_25,1,2_1
2_1_26,1,2_1
2_1_27,1,2_1
2_1_28,1,2_1
2_1_29,1,2_1
2_1_30,1,2_1
2_1_31,1,2_1
2_1_32,1,2_1
2_1_33,1,2_1
2_1_34,1,2_1
2_1_35,1,2_1
2_1_36,1,2_1
2_1_37,1,2_1
2_1_38,1,2_1
2_1_39,1,2_1
2_1_40,1,2_1
2_1_41,1,2_1
2_1_42,1,2_1
2_1_43,1,2_1
2_1_44,1,2_1
2_1_45,1,2_1
2_1_46,1,2_1
2_1_47,1,2_1
2_1_48,1,2_1
2_1_49,1,2_1
2_1_50,1,2_1
2_1_51,1,2_1
2_1_52,1,2_1
2_1_53,1,2_1
2_1_54,1,2_1
2_1_55,1,2_1
2_1_56,1,2_1
2_1_57,1,2_1
2_1_58,1,2_1
2_1_59,1,2_1
2_1_60,1,2_1
2_1_61,1,2_1
2_1_62,1,2_1
2_1_63,1,2_1
2_1_64,1,2_1
2_1_65,1,2_1
2_1_66,1,2_1
2_1_67,1,2_1
2_1_68,1,2_1
2_1_69,1,2_1
2_1_70,1,2_1
2_1_71,1,2_1
2_1_72,1,2_1
2_1_73,2,2_1
2_1_74,2,2_1
2_1_75,2,2_1
2_1_76,2,2_1
2_1_77,2,2_1
2_1_78,2,2_1
2_1_79,2,2_1
2_1_80,2,2_1
2_1_81,2,2_1
2_1_82,2,2_1
2_1_83,2,2_1
2_1_84,2,2_1
2_1_85,2,2_1
2_1_86,2,2_1
2_1_87,2,2_1
2_1_88,2,2_1
3_1_1,1,3_1
3_1_2,1,3_1
3_1_3,1,3_1
3_1_4,1,3_1
3_1_5,1,3_1
3_1_6,1,3_1
3_1_7,1,3_1
3_1_8,1,3_1
3_1_9,1,3_1
3_1_10,1,3_1
3_1_11,1,3_1
3_1_12,1,3_1
3_1_13,1,3_1
3_1_14,1,3_1
3_1_15,1,3_1
3_1_16,1,3_1
3_1_17,1,3_1
3_1_18,1,3_1
3_1_19,1,3_1
3_1_20,1,3_1
3_1_21,1,3_1
3_1_22,2,3_1
3_1_23,2,3_1
4_1_1,2,4_1
4_1_2,2,4_1
4_1_3,2,4_1
4_1_4,2,4_1
4_1_5,2,4_1
4_1_6,2,4_1
4_1_7,2,4_1
4_1_8,2,4_1
4_1_9,2,4_1
4_1_10,2,4_1
4_1_11,2,4_1
4_1_12,2,4_1
4_1_13,2,4_1
4_1_14,2,4_1
4_1_15,2,4_1
4_1_16,2,4_1
4_1_17,2,4_1
4_1_18,2,4_1
4_1_19,2,4_1
4_1_20,2,4_1
4_1_21,2,4_1
4_1_22,2,4_1
4_1_23,2,4_1
4_1_24,2,4_1
4_1_25,2,4_1
4_1_26,2,4_1
4_1_27,2,4_1
4_1_28,2,4_1
4_1_29,2,4_1
4_1_30,2,4_1
4_1_31,2,4_1
4_1_32,2,4_1
4_1_33,2,4_1
4_1_34,2,4_1
4_1_35,2,4_1
4_1_36,2,4_1
4_1_37,2,4_1
4_1_38,2,4_1
4_1_39,2,4_1
4_1_40,2,4_1
4_1_41,2,4_1
4_1_42,2,4_1
4_1_43,2,4_1
4_1_44,2,4_1
4_1_45,2,4_1
4_1_46,2,4_1
4_1_47,2,4_1
4_1_48,2,4_1
4_1_49,2,4_1
4_1_50,2,4_1
4_1_51,2,4_1
4_1_52,2,4_1
4_1_53,2,4_1
4_1_54,2,4_1
4_1_55,2,4_1
4_1_56,2,4_1
4_1_57,2,4_1
4_1_58,2,4_1
4_1_59,2,4_1
4_1_60,2,4_1
4_1_61,2,4_1
4_1_62,2,4_1
4_1_63,2,4_1
4_1_64,2,4_1
4_1_65,2,4_1
4_1_66,2,4_1
4_1_67,2,4_1
4_1_68,2,4_1
4_1_69,2,4_1
4_1_70,2,4_1
4_1_71,2,4_1
4_1_72,2,4_1
4_1_73,2,4_1
4_1_74,2,4_1
4_1_75,2,4_1
4_1_76,2,4_1
4_1_77,2,4_1
4_1_78,2,4_1
4_1_79,2,4_1
4_1_80,2,4_1
4_1_81,2,4_1
4_1_82,2,4_1
4_1_83,2,4_1
4_1_84,2,4_1
4_1_85,2,4_1
4_1_86,2,4_1
4_1_87,2,4_1
4_1_88,2,4_1
4_1_89,2,4_1
4_1_90,2,4_1
4_1_91,2,4_1
4_1_92,2,4_1
4_1_93,2,4_1
4_1_94,2,4_1
4_1_95,2,4_1
4_1_96,2,4_1
4_1_97,2,4_1
4_1_98,2,4_1
4_1_99,2,4_1
4_1_100,2,4_1
4_1_101,2,4_1
4_1_102,2,4_1
4_1_103,2,4_1
4_1_104,2,4_1
4_1_105,2,4_1
4_1_106,2,4_1
4_1_107,2,4_1
4_1_108,2,4_1
4_1_109,2,4_1
4_1_110,2,4_1
4_1_111,2,4_1
4_1_112,2,4_1
4_1_113,2,4_1
4_1_114,2,4_1
4_1_115,2,4_1
4_1_116,2,4_1
4_1_117,2,4_1
4_1_118,2,4_1
4_1_119,2,4_1
4_1_120,2,4_1
4_1_121,2,4_1
4_1_122,2,4_1
4_1_123,2,4_1
4_1_124,2,4_1
4_1_125,2,4_1
4_1_126,2,4_1
4_1_127,2,4_1
4_1_128,2,4_1
4_1_129,2,4_1
4_1_130,2,4_1
4_1_131,2,4_1
4_1_132,2,4_1
4_1_133,2,4_1
4_1_134,2,4_1
4_1_135,2,4_1
4_1_136,2,4_1
4_1_137,2,4_1
4_1_138,2,4_1
4_1_139,2,4_1
4_1_140,2,4_1
4_1_141,2,4_1
4_1_142,2,4_1
4_1_143,2,4_1
4_1_144,2,4_1
4_1_145,2,4_1
4_1_146,2,4_1
4_1_147,2,4_1
4_1_148,2,4_1
4_1_149,2,4_1
4_1_150,2,4_1
4_1_151,2,4_1
4_1_152,2,4_1
4_1_153,2,4_1
4_1_154,2,4_1
4_1_155,2,4_1
4_1_156,2,4_1
4_1_157,2,4_1
4_1_158,2,4_1
4_1_159,2,4_1
4_1_160,2,4_1
4_1_161,2,4_1
4_1_162,2,4_1
4_1_163,2,4_1
4_1_164,2,4_1
4_1_165,2,4_1
4_1_166,2,4_1
4_1_167,2,4_1
4_1_168,2,4_1
4_1_169,2,4_1
4_1_170,2,4_1
4_1_171,2,4_1
4_1_172,2,4_1
4_1_173,2,4_1
4_1_174,2,4_1
4_1_175,2,4_1
4_1_176,2,4_1
4_1_177,2,4_1
4_1_178,2,4_1
4_1_179,2,4_1
4_1_180,2,4_1
4_1_181,2,4_1
4_1_182,2,4_1
4_1_183,2,4_1
4_1_184,2,4_1
4_1_185,2,4_1
4_1_186,2,4_1
4_1_187,2,4_1
4_1_188,2,4_1
4_1_189,2,4_1
4_1_190,2,4_1
4_1_191,2,4_1
4_1_192,2,4_1
4_1_193,2,4_1
4_1_194,2,4_1
4_1_195,2,4_1
